state_name,state_id,city,city_ascii,county_name,lat,lng,timezone,zips
Wisconsin,WI,Chippewa Falls,Chippewa Falls,Chippewa,44.9358,-91.3902,America/Chicago,54729 54774
Wisconsin,WI,Clam Lake,Clam Lake,Ashland,46.1579,-90.9056,America/Chicago,54517
Wisconsin,WI,Clarks Mills,Clarks Mills,Manitowoc,44.0918,-87.8637,America/Chicago,54230
Wisconsin,WI,Clayton,Clayton,Polk,45.326,-92.171,America/Chicago,54004
Wisconsin,WI,Clear Lake,Clear Lake,Polk,45.2491,-92.2675,America/Chicago,54005
Wisconsin,WI,Cleveland,Cleveland,Manitowoc,43.9177,-87.7469,America/Chicago,53015
Wisconsin,WI,Clinton,Clinton,Rock,42.5574,-88.868,America/Chicago,53525
Wisconsin,WI,Clintonville,Clintonville,Waupaca,44.6222,-88.7513,America/Chicago,54929
Wisconsin,WI,Clyman,Clyman,Dodge,43.3116,-88.7232,America/Chicago,53016
Wisconsin,WI,Cobb,Cobb,Iowa,42.9661,-90.3296,America/Chicago,53526
Wisconsin,WI,Cochrane,Cochrane,Buffalo,44.2279,-91.838,America/Chicago,54622
Wisconsin,WI,Colby,Colby,Marathon,44.9107,-90.3159,America/Chicago,54421
Wisconsin,WI,Coleman,Coleman,Marinette,45.0673,-88.0358,America/Chicago,54112
Wisconsin,WI,Colfax,Colfax,Dunn,44.997,-91.7264,America/Chicago,54730
Wisconsin,WI,Collins,Collins,Manitowoc,44.0856,-87.9809,America/Chicago,54230 53014 54207
Wisconsin,WI,Coloma,Coloma,Waushara,44.0387,-89.5311,America/Chicago,54930
Wisconsin,WI,Columbus,Columbus,Columbia,43.3354,-89.03,America/Chicago,53925
Wisconsin,WI,Combined Locks,Combined Locks,Outagamie,44.2642,-88.3064,America/Chicago,54113
Wisconsin,WI,Como,Como,Walworth,42.6126,-88.4858,America/Chicago,53147
Wisconsin,WI,Coon Valley,Coon Valley,Vernon,43.7024,-91.0112,America/Chicago,54623
Wisconsin,WI,Cornell,Cornell,Chippewa,45.1632,-91.1497,America/Chicago,54732
Wisconsin,WI,Cornucopia,Cornucopia,Bayfield,46.8566,-91.1082,America/Chicago,54827
Wisconsin,WI,Cottage Grove,Cottage Grove,Dane,43.0922,-89.2054,America/Chicago,53527
Wisconsin,WI,Couderay,Couderay,Sawyer,45.7976,-91.3005,America/Chicago,54828
Wisconsin,WI,Crandon,Crandon,Forest,45.5686,-88.8973,America/Chicago,54520
Wisconsin,WI,Crivitz,Crivitz,Marinette,45.2337,-88.0067,America/Chicago,54114
Wisconsin,WI,Cross Plains,Cross Plains,Dane,43.1145,-89.6479,America/Chicago,53528
Wisconsin,WI,Cuba City,Cuba City,Grant,42.6036,-90.4318,America/Chicago,53807
Wisconsin,WI,Cudahy,Cudahy,Milwaukee,42.9467,-87.8641,America/Chicago,53110
Wisconsin,WI,Cumberland,Cumberland,Barron,45.5358,-92.0291,America/Chicago,54829
Wisconsin,WI,Curtiss,Curtiss,Clark,44.9521,-90.435,America/Chicago,54422
Wisconsin,WI,Dale,Dale,Outagamie,44.2757,-88.673,America/Chicago,54944 54931
Wisconsin,WI,Dallas,Dallas,Barron,45.2591,-91.8142,America/Chicago,54733
Wisconsin,WI,Dalton,Dalton,Green Lake,43.6562,-89.2069,America/Chicago,53926
Wisconsin,WI,Danbury,Danbury,Burnett,46.0088,-92.3777,America/Chicago,54830
Wisconsin,WI,Dane,Dane,Dane,43.2497,-89.4993,America/Chicago,53529
Wisconsin,WI,Darien,Darien,Walworth,42.6007,-88.7129,America/Chicago,53114
Wisconsin,WI,Darlington,Darlington,Lafayette,42.6765,-90.1201,America/Chicago,53530
Wisconsin,WI,De Pere,De Pere,Brown,44.4308,-88.0785,America/Chicago,54115 54344
Wisconsin,WI,De Soto,De Soto,Vernon,43.4283,-91.1963,America/Chicago,54624
Wisconsin,WI,DeForest,DeForest,Dane,43.2301,-89.3431,America/Chicago,53598 53532
Wisconsin,WI,Deer Park,Deer Park,St. Croix,45.1887,-92.3879,America/Chicago,54007
Wisconsin,WI,Deerfield,Deerfield,Dane,43.0491,-89.0762,America/Chicago,53531
Wisconsin,WI,Dekorra,Dekorra,Columbia,43.4539,-89.4603,America/Chicago,53955
Wisconsin,WI,Delafield,Delafield,Waukesha,43.072,-88.3913,America/Chicago,53018 53058 53029
Wisconsin,WI,Delavan,Delavan,Walworth,42.6282,-88.6323,America/Chicago,53115
Wisconsin,WI,Delavan Lake,Delavan Lake,Walworth,42.5992,-88.6176,America/Chicago,53115
Wisconsin,WI,Dellwood,Dellwood,Adams,43.9545,-89.9341,America/Chicago,53934 54613
Wisconsin,WI,Denmark,Denmark,Brown,44.3493,-87.8313,America/Chicago,54208
Wisconsin,WI,Diamond Bluff,Diamond Bluff,Pierce,44.6489,-92.6189,America/Chicago,54014
Wisconsin,WI,Diaperville,Diaperville,Ashland,46.6059,-90.7095,America/Chicago,54806
Wisconsin,WI,Dickeyville,Dickeyville,Grant,42.6246,-90.5914,America/Chicago,53808 53807
Wisconsin,WI,Dodge,Dodge,Trempealeau,44.1344,-91.5493,America/Chicago,54625
Wisconsin,WI,Dodgeville,Dodgeville,Iowa,42.966,-90.1297,America/Chicago,53533 53595
Wisconsin,WI,Dorchester,Dorchester,Clark,45.0025,-90.3308,America/Chicago,54425
Wisconsin,WI,Dousman,Dousman,Waukesha,43.0092,-88.4771,America/Chicago,53118 53066
Wisconsin,WI,Downing,Downing,Dunn,45.0498,-92.1243,America/Chicago,54734
Wisconsin,WI,Downsville,Downsville,Dunn,44.7709,-91.9257,America/Chicago,54751 54735
Wisconsin,WI,Doylestown,Doylestown,Columbia,43.4276,-89.1457,America/Chicago,53960 53928 53925
Wisconsin,WI,Dresser,Dresser,Polk,45.3616,-92.6344,America/Chicago,54009
Wisconsin,WI,Drummond,Drummond,Bayfield,46.3437,-91.25,America/Chicago,54832
Wisconsin,WI,Dunbar,Dunbar,Marinette,45.647,-88.1754,America/Chicago,54119
Wisconsin,WI,Durand,Durand,Pepin,44.627,-91.9607,America/Chicago,54736
Wisconsin,WI,Dyckesville,Dyckesville,Brown,44.6403,-87.7647,America/Chicago,54217
Wisconsin,WI,Eagle,Eagle,Waukesha,42.879,-88.4697,America/Chicago,53119
Wisconsin,WI,Eagle Lake,Eagle Lake,Racine,42.7014,-88.1291,America/Chicago,53139
Wisconsin,WI,Eagle River,Eagle River,Vilas,45.925,-89.2561,America/Chicago,54521
Wisconsin,WI,East Troy,East Troy,Walworth,42.7846,-88.3973,America/Chicago,53120
Wisconsin,WI,Eastman,Eastman,Crawford,43.1622,-91.0254,America/Chicago,54626
Wisconsin,WI,Easton,Easton,Adams,43.8383,-89.8049,America/Chicago,53936 53910
Wisconsin,WI,Eau Claire,Eau Claire,Eau Claire,44.8197,-91.4948,America/Chicago,54703 54701 54702
Wisconsin,WI,Eden,Eden,Fond du Lac,43.6928,-88.3642,America/Chicago,53019
Wisconsin,WI,Edgar,Edgar,Marathon,44.9229,-89.9626,America/Chicago,54426
Wisconsin,WI,Edgerton,Edgerton,Rock,42.8385,-89.0699,America/Chicago,53534
Wisconsin,WI,Edmund,Edmund,Iowa,42.9662,-90.2644,America/Chicago,53533
